0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1997,-4.548,-412.378,8655.78,11882.23,-3.895,-331.956,11243.73,8190.654,0,0,1,0,0,0
1998,2.457,212.705,8868.485,12175.95,2.041,167.185,11474.86,8357.839,0,0,1,0,0,0
1999,2.026,179.692,9048.178,12428.27,1.338,111.789,11633.59,8469.628,0,0,1,0,0,0
2000,2.333,211.139,9259.316,12720.29,0.002,0.183,11635.68,8469.811,0,0,1,0,0,0
2001,1.669,154.57,9413.887,12933.96,0.197,16.698,11659.81,8486.509,0,0,1,0,0,0
2002,0.58,54.611,9468.498,13007.59,2.538,215.414,11954.49,8701.923,0,0,1,0,0,0
2003,3.283,310.817,9779.315,13425.29,3.045,264.971,12309.98,8966.894,0,0,1,0,0,0
2004,2.722,266.2,10045.52,13776.43,2.593,232.537,12616.1,9199.431,0,0,1,0,0,0
2005,1.66,166.802,10212.32,13989.72,-0.314,-28.885,12562.61,9170.546,0,0,1,0,0,0
2006,1.329,135.683,10348.0,14157.64,0.883,80.983,12657.5,9251.529,0,0,1,0,0,0
2007,-0.294,-30.388,10317.61,14086.12,-1.867,-172.706,12394.86,9078.823,0,0,1,0,0,0
2008,0.192,19.833,10337.45,14077.03,2.644,240.084,12690.04,9318.907,0,0,1,0,0,0
2009,-7.245,-748.914,9588.531,13027.66,-9.887,-921.318,11409.56,8397.589,0,0,1,0,0,0
2010,7.648,733.357,10321.89,13997.56,8.187,687.522,12320.36,9085.111,0,0,1,0,0,0
2011,-3.705,-382.381,9939.508,13454.78,-0.757,-68.755,12205.14,9016.356,0,0,1,0,0,0
2012,-2.317,-230.348,9709.16,13119.36,-1.361,-122.693,12017.43,8893.663,0,0,1,0,0,0
2013,-1.641,-159.326,9549.834,12884.63,0.58,51.551,12068.87,8945.214,0,0,1,0,0,0
2014,-6.296,-601.246,8948.588,12056.99,-4.168,-372.854,11550.07,8572.359,0,0,1,0,0,0
2015,-0.559,-50.016,8898.572,11971.8,-1.394,-119.536,11372.11,8452.823,0,0,1,0,0,0
2016,4.715,419.594,9318.166,12515.73,0.465,39.271,11406.19,8492.094,0,0,1,0,0,0
2017,2.733,254.674,9572.84,12838.12,5.776,490.503,12046.54,8982.597,0,0,1,0,0,0
2018,1.806,172.927,9745.767,13053.92,2.487,223.417,12330.95,9206.014,0,0,1,0,0,0
2019,0.075,7.299,9753.065,13049.01,-0.731,-67.269,12227.08,9138.745,0,0,1,0,0,0
2020,-3.958,-386.026,9367.039,12531.78,-6.187,-565.42,11469.9,8573.325,0,0,1,0,0,0
2021,7.741,725.084,10092.12,13520.74,6.502,557.437,12232.78,9130.762,0,0,1,0,0,0
2022,-13.391,-1351.46,8740.663,11735.47,-8.141,-743.315,11261.23,8387.446,0,0,1,0,0,0
1965,12.596742690058477,96.79230409356725,4467.994,15360.79,4.054,214.321,18912.83,5501.176,0,0,0,1,0,0
1966,7.846,350.553,4818.547,16294.02,5.976,328.741,19713.99,5829.917,0,0,0,1,0,0
1967,5.284,254.6,5073.147,16886.21,5.936,346.075,20557.08,6175.992,0,0,0,1,0,0
1968,7.261,368.355,5441.502,17831.69,7.068,436.512,21669.04,6612.504,0,0,0,1,0,0
1969,8.072,439.225,5880.727,18966.84,8.077,534.105,23049.63,7146.609,0,0,0,1,0,0
1970,5.664,333.108,6213.835,19683.24,-10.686,-763.709,20218.78,6382.9,0,0,0,1,0,0
1971,3.294,204.673,6418.509,19992.27,3.324,212.159,20542.19,6595.06,0,0,0,1,0,0
1972,1.782,114.385,6532.894,20019.9,0.941,62.075,20400.63,6657.135,0,0,0,1,0,0
1973,-0.173,-11.331,6521.562,19683.51,0.773,51.447,20247.97,6708.582,0,0,0,1,0,0
1974,-3.007,-196.073,6325.49,18810.57,-3.998,-268.178,19152.3,6440.404,0,0,0,1,0,0
1975,-7.2,-455.431,5870.059,17199.1,-6.187,-398.479,17702.67,6041.925,0,0,0,1,0,0
1976,1.847,108.413,5978.472,17263.36,-0.603,-36.462,17341.3,6005.463,0,0,0,1,0,0
1977,-1.28,-76.538,5901.934,16790.4,1.159,69.596,17282.92,6075.059,0,0,0,1,0,0
1978,1.052,62.077,5964.011,16705.16,-0.153,-9.286,16990.19,6065.773,0,0,0,1,0,0
1979,3.698,220.552,6184.562,17053.6,3.845,233.247,17369.21,6299.021,0,0,0,1,0,0
1980,-1.585,-98.033,6086.529,16513.68,-0.89,-56.045,16938.15,6242.976,0,0,0,1,0,0
1981,-2.004,-121.954,5964.575,15965.6,-0.909,-56.766,16558.86,6186.21,0,0,0,1,0,0
1982,-5.257,-313.582,5650.994,14925.4,-4.933,-305.196,15532.93,5881.014,0,0,0,1,0,0
1983,-5.549,-313.584,5337.409,13909.11,-8.405,-494.315,14037.55,5386.699,0,0,0,1,0,0
1984,6.843,365.263,5702.672,14665.57,8.085,435.5,14972.95,5822.198,0,0,0,1,0,0
1985,-2.591,-147.783,5554.89,14100.52,-3.747,-218.142,14225.33,5604.057,0,0,0,1,0,0
1986,-6.194,-344.061,5210.829,13058.25,-3.497,-195.972,13552.57,5408.084,0,0,0,1,0,0
1987,5.569,290.169,5500.998,13611.15,4.199,227.105,13943.19,5635.19,0,0,0,1,0,0
1988,5.093,280.154,5781.152,14119.2,4.595,258.946,14395.14,5894.136,0,0,0,1,0,0
1989,6.021,348.11,6129.262,14767.1,1.945,114.662,14476.87,6008.798,0,0,0,1,0,0
1990,0.039,2.369,6131.631,14544.57,2.972,178.562,14676.76,6187.361,0,0,0,1,0,0
1991,2.162,132.564,6264.195,14638.21,0.533,32.95,14535.66,6220.311,0,0,0,1,0,0
1992,3.451,216.161,6480.355,14907.54,2.239,139.299,14629.77,6359.61,0,0,0,1,0,0
1993,2.854,184.92,6665.275,15098.58,3.162,201.121,14861.76,6560.731,0,0,0,1,0,0
1994,2.754,183.546,6848.821,15285.16,5.082,333.437,15386.37,6894.168,0,0,0,1,0,0
1995,4.157,284.684,7133.505,15693.29,0.472,32.547,15238.37,6926.715,0,0,0,1,0,0
1996,1.929,137.583,7271.089,15774.97,1.54,106.651,15259.22,7033.366,0,0,0,1,0,0
1997,0.835,60.712,7331.801,15688.54,1.158,81.461,15224.26,7114.828,0,0,0,1,0,0
1998,-1.303,-95.54,7236.261,15275.4,1.911,135.942,15306.03,7250.77,0,0,0,1,0,0
1999,1.164,84.24,7320.5,15251.79,0.244,17.713,15143.41,7268.482,0,0,0,1,0,0
2000,4.408,322.697,7643.197,15714.96,2.188,159.043,15271.52,7427.525,0,0,0,1,0,0
2001,-4.085,-312.216,7330.981,14890.71,2.298,170.708,15433.55,7598.234,0,0,0,1,0,0
2002,3.898,285.787,7616.769,15292.65,-2.138,-162.417,14929.34,7435.817,0,0,0,1,0,0
2003,-1.309,-99.735,7517.033,14925.36,1.48,110.039,14982.59,7545.856,0,0,0,1,0,0
2004,0.692,52.041,7569.074,14862.48,-1.118,-84.325,14651.31,7461.531,0,0,0,1,0,0
2005,-0.447,-33.802,7535.271,14633.23,-0.335,-24.964,14441.55,7436.566,0,0,0,1,0,0
2006,-0.018,-1.339,7533.933,14472.0,3.033,225.531,14718.19,7662.098,0,0,0,1,0,0
2007,5.782,435.587,7969.52,15142.11,2.103,161.107,14864.11,7823.205,0,0,0,1,0,0
2008,0.771,61.465,8030.985,15095.65,2.046,160.026,15005.89,7983.231,0,0,0,1,0,0
2009,-1.127,-90.5,7940.485,14771.13,0.824,65.794,14973.04,8049.025,0,0,0,1,0,0
2010,4.403,349.65,8290.135,15265.8,1.536,123.648,15049.5,8172.674,0,0,0,1,0,0
2011,2.869,237.838,8527.973,15542.59,5.239,428.188,15675.44,8600.862,0,0,0,1,0,0
2012,3.736,318.632,8846.604,15956.05,3.444,296.209,16047.07,8897.071,0,0,0,1,0,0
2013,3.34,295.462,9142.066,16323.48,1.121,99.695,16064.04,8996.767,0,0,0,1,0,0
2014,2.29,209.327,9351.394,16536.9,6.035,542.974,16869.97,9539.74,0,0,0,1,0,0
2015,2.442,228.361,9579.755,16785.21,3.351,319.65,17275.17,9859.391,0,0,0,1,0,0
2016,0.012,1.175,9580.93,16633.32,-1.794,-176.842,16809.74,9682.549,0,0,0,1,0,0
2017,-0.035,-3.32,9577.609,16477.38,2.092,202.604,17006.48,9885.152,0,0,0,1,0,0
2018,9.622,921.582,10499.19,17920.86,10.316,1019.777,18613.41,10904.93,0,0,0,1,0,0
2019,3.216,337.624,10836.82,18352.02,7.282,794.135,19812.23,11699.06,0,0,0,1,0,0
2020,-2.108,-228.44,10608.38,17851.31,-1.91,-223.508,19310.56,11475.56,0,0,0,1,0,0
2021,1.009,107.08,10715.46,17945.13,2.85,327.071,19765.81,11802.63,0,0,0,1,0,0
2022,4.505,482.773,11198.23,18653.65,4.263,503.175,20498.61,12305.8,0,0,0,1,0,0
1965,12.596742690058477,96.79230409356725,0.029,1.674,4.823,0.059,73.172,1.289,0,0,0,0,1,0
1966,33.333,0.01,0.039,2.186,0.0,0.0,71.68,1.289,0,0,0,0,1,0
1967,0.0,0.0,0.039,2.145,-2.782,-0.036,68.375,1.253,0,0,0,0,1,0
1968,675.0,0.265,0.305,16.324,3.743,0.047,69.653,1.3,0,0,0,0,1,0
1969,1254.839,3.822,4.126,216.949,235.618,3.062,229.31,4.362,0,0,0,0,1,0
1970,336.553,13.888,18.014,924.73,296.734,12.942,888.263,17.304,0,0,0,0,1,0
1971,48.376,8.715,26.729,1334.915,49.253,8.523,1289.847,25.827,0,0,0,0,1,0
1972,44.822,11.98,38.709,1890.013,43.55,11.248,1810.173,37.074,0,0,0,0,1,0
1973,26.505,10.26,48.97,2348.35,26.958,9.995,2257.197,47.069,0,0,0,0,1,0
1974,16.206,7.936,56.905,2682.535,14.093,6.633,2531.522,53.702,0,0,0,0,1,0
1975,7.449,4.239,61.145,2838.948,7.389,3.968,2677.619,57.67,0,0,0,0,1,0
1976,26.597,16.263,77.407,3547.416,18.046,10.407,3119.836,68.077,0,0,0,0,1,0
1977,20.284,15.702,93.109,4215.009,14.236,9.691,3520.547,77.768,0,0,0,0,1,0
1978,5.365,4.995,98.104,4388.264,7.66,5.957,3745.095,83.725,0,0,0,0,1,0
1979,7.95,7.799,105.903,4681.122,15.109,12.65,4259.977,96.375,0,0,0,0,1,0
1980,12.711,13.461,119.364,5207.721,14.828,14.291,4828.221,110.666,0,0,0,0,1,0
1981,9.431,11.258,130.622,5613.601,8.384,9.279,5154.724,119.944,0,0,0,0,1,0
1982,4.429,5.785,136.407,5768.628,-2.471,-2.964,4947.084,116.981,0,0,0,0,1,0
1983,8.621,11.759,148.167,6170.663,8.629,10.094,5292.26,127.075,0,0,0,0,1,0
1984,2.832,4.196,152.362,6255.197,-1.383,-1.758,5144.865,125.317,0,0,0,0,1,0
1985,10.553,16.079,168.442,6818.146,6.891,8.635,5422.105,133.953,0,0,0,0,1,0
1986,11.579,19.505,187.946,7496.993,9.24,12.377,5836.933,146.329,0,0,0,0,1,0
1987,0.907,1.704,189.65,7449.033,2.095,3.065,5867.889,149.395,0,0,0,0,1,0
1988,3.952,7.495,197.145,7621.026,2.409,3.599,5914.247,152.993,0,0,0,0,1,0
1989,7.666,15.113,212.258,8074.916,15.741,24.082,6736.463,177.076,0,0,0,0,1,0
1990,-0.024,-0.05,212.208,7934.729,16.397,29.036,7706.77,206.111,0,0,0,0,1,0
1991,-1.433,-3.041,209.167,7685.862,4.684,9.654,7928.317,215.765,0,0,0,0,1,0
1992,3.999,8.364,217.531,7870.86,8.144,17.571,8442.739,233.336,0,0,0,0,1,0
1993,2.236,4.863,222.394,7931.666,4.501,10.503,8696.503,243.839,0,0,0,0,1,0
1994,7.169,15.944,238.338,8375.869,14.794,36.073,9836.916,279.912,0,0,0,0,1,0
1995,-0.122,-0.291,238.046,8235.332,5.733,16.048,10238.88,295.96,0,0,0,0,1,0
1996,3.216,7.655,245.701,8363.146,0.128,0.377,10086.67,296.337,0,0,0,0,1,0
1997,0.166,0.409,246.11,8245.808,0.013,0.039,9929.957,296.376,0,0,0,0,1,0
1998,-0.344,-0.845,245.265,8094.666,2.146,6.361,9991.475,302.737,0,0,0,0,1,0
1999,4.774,11.71,256.974,8355.927,1.45,4.388,9986.669,307.125,0,0,0,0,1,0
2000,2.852,7.329,264.303,8464.988,1.562,4.798,9990.134,311.923,0,0,0,0,1,0
2001,7.334,19.383,283.686,8944.878,4.645,14.49,10292.09,326.413,0,0,0,0,1,0
2002,1.284,3.644,287.33,8914.895,1.102,3.598,10239.16,330.012,0,0,0,0,1,0
2003,-4.442,-12.763,274.567,8381.971,2.255,7.441,10301.73,337.452,0,0,0,0,1,0
2004,0.25,0.687,275.254,8271.16,6.475,21.851,10796.76,359.303,0,0,0,0,1,0
2005,-1.849,-5.088,270.166,7989.919,6.415,23.05,11307.74,382.353,0,0,0,0,1,0
2006,10.149,27.419,297.585,8651.765,6.4,24.469,11827.65,406.822,0,0,0,0,1,0
